Date,Rain,Temp Max,Temp Min,Location,Rain,Temp Max,Temp Min,Location
04-03-1951,0,36.29999924,16.54000092,POINT (72.5 23.5),0,38.50999832,18.62999916,POINT (72.5 22.5)
05-03-1951,0,36.50999832,16.31999969,POINT (72.5 23.5),0,37.77000046,18.15999985,POINT (72.5 22.5)
06-03-1951,0,36.88000107,17.04000092,POINT (72.5 23.5),0,38.04999924,18.88999939,POINT (72.5 22.5)
07-03-1951,0,36.86999893,17.89999962,POINT (72.5 23.5),0,38.75,19.71999931,POINT (72.5 22.5)
08-03-1951,0,36.27999878,18.20999908,POINT (72.5 23.5),0,38.93999863,20.18000031,POINT (72.5 22.5)
09-03-1951,0,35.75,18.89999962,POINT (72.5 23.5),0,37.06000137,20.63999939,POINT (72.5 22.5)
10-03-1951,0,34.13000107,18.85000038,POINT (72.5 23.5),0,36.65000153,20.36000061,POINT (72.5 22.5)
11-03-1951,0,35.75,19.86000061,POINT (72.5 23.5),0,37.47999954,21.57999992,POINT (72.5 22.5)
12-03-1951,0,34.06000137,16.93000031,POINT (72.5 23.5),0,35.86999893,18.69000053,POINT (72.5 22.5)
13-03-1951,0,33.02999878,15.39999962,POINT (72.5 23.5),0,35.31999969,17.57999992,POINT (72.5 22.5)
14-03-1951,0,33.49000168,15.52999973,POINT (72.5 23.5),0,35.77999878,17.97999954,POINT (72.5 22.5)
15-03-1951,0,34.65000153,15.43999958,POINT (72.5 23.5),0,36.75999832,17.52000046,POINT (72.5 22.5)
16-03-1951,0,36.18999863,18.69000053,POINT (72.5 23.5),0,37.25,20.46999931,POINT (72.5 22.5)
17-03-1951,0,35.56000137,18.31999969,POINT (72.5 23.5),0,37.18000031,19.93000031,POINT (72.5 22.5)
18-03-1951,0,35.29000092,18.03000069,POINT (72.5 23.5),0,37.11999893,19.43000031,POINT (72.5 22.5)
19-03-1951,0,33.99000168,20.70000076,POINT (72.5 23.5),0,36.08000183,22.22999954,POINT (72.5 22.5)
20-03-1951,0,31.59000015,17.67000008,POINT (72.5 23.5),0,33.22000122,20,POINT (72.5 22.5)
21-03-1951,0,32,16.98999977,POINT (72.5 23.5),0,33.43000031,19.32999992,POINT (72.5 22.5)
22-03-1951,0,31.82999992,18.95000076,POINT (72.5 23.5),0,33.09999847,20.38999939,POINT (72.5 22.5)
23-03-1951,0,32.5,20.55999947,POINT (72.5 23.5),0,34.22000122,22.31999969,POINT (72.5 22.5)
24-03-1951,0,31.09000015,19.12999916,POINT (72.5 23.5),0,32.77000046,20.88999939,POINT (72.5 22.5)
25-03-1951,0,29.25,17.32999992,POINT (72.5 23.5),0,31.30999947,19.98999977,POINT (72.5 22.5)
26-03-1951,0,29.57999992,16.36000061,POINT (72.5 23.5),0,31.61000061,18.48999977,POINT (72.5 22.5)
27-03-1951,0,28.45999908,17.47999954,POINT (72.5 23.5),0,30.94000053,19.79999924,POINT (72.5 22.5)
28-03-1951,0,29.71999931,18.28000069,POINT (72.5 23.5),0,31.81999969,20.93000031,POINT (72.5 22.5)
29-03-1951,0,28.92000008,16.60000038,POINT (72.5 23.5),0,30.37000084,17.85000038,POINT (72.5 22.5)
30-03-1951,0,31.57999992,16.71999931,POINT (72.5 23.5),0,33.68999863,18.62000084,POINT (72.5 22.5)
31-03-1951,0,31.87000084,17.67000008,POINT (72.5 23.5),0,33.31999969,19.67000008,POINT (72.5 22.5)
01-04-1951,0,31.85000038,18.77000046,POINT (72.5 23.5),0,33,21,POINT (72.5 22.5)
02-04-1951,0,32.34999847,17.79999924,POINT (72.5 23.5),0,33.70000076,19.87999916,POINT (72.5 22.5)
03-04-1951,0,32.90000153,17.55999947,POINT (72.5 23.5),0,34.54999924,19.81999969,POINT (72.5 22.5)
04-04-1951,0,31.63999939,17.60000038,POINT (72.5 23.5),0,33.43999863,19.81999969,POINT (72.5 22.5)
05-04-1951,0,32.66999817,18.64999962,POINT (72.5 23.5),0,34.13999939,20.81999969,POINT (72.5 22.5)
06-04-1951,0,33.70999908,19.51000023,POINT (72.5 23.5),0,34.72000122,21.21999931,POINT (72.5 22.5)
07-04-1951,0,32.59000015,16.28000069,POINT (72.5 23.5),0,33.49000168,18.45000076,POINT (72.5 22.5)
